表名,字段名,飞书字段类型,是否必填,填写规则,示例
供应商主数据,供应商代码,文本,是,业务系统供应商代码且保持唯一,8110023
供应商主数据,供应商名称,文本,是,企业全称,深圳市康斯得电子有限公司
供应商主数据,供应商简称,文本,否,常用简称,康斯得电子
供应商主数据,统一社会信用代码,文本,建议,按统一社会信用代码填写,91440300XXXXXXXXXX
供应商主数据,供应商状态,单选,是,正常/暂停合作/禁止合作/已淘汰/候选,正常
供应商主数据,所属行业,多选,否,可选择多个行业,电子/汽车零部件
供应商主数据,主要产品,多行文本,是,填写产品名称及关键型号,工业相机/镜头
供应商主数据,经营范围,多行文本,否,填写企业经营范围,电子产品研发与销售
供应商主数据,公司网址,URL,否,填写企业官网完整地址,https://example.com
供应商主数据,注册地址省份,单选,否,填写省级行政区,广东省
供应商主数据,注册地址城市,文本,否,填写城市,深圳市
供应商主数据,注册地址,多行文本,否,填写详细注册地址,南山区科技园
供应商主数据,成立日期,日期,否,格式为YYYY-MM-DD,2020-01-01
供应商主数据,法定代表人,文本,否,填写法定代表人姓名,张三
供应商主数据,是否上市,单选,否,是/否/未知,否
供应商主数据,母公司名称,文本,否,没有则留空,某某集团有限公司
供应商主数据,母公司统一社会信用代码,文本,否,没有则留空,91440000XXXXXXXXXX
供应商主数据,数据更新时间,日期时间,是,来源数据最后更新时间,2026-08-25 10:00:00
供应商主数据,备注,多行文本,否,人工补充说明,待补充官网
供应商供货能力,供应商代码,文本,是,必须能在供应商主数据中找到,8110023
供应商供货能力,品类,文本,是,一个品类一行,工业相机
供应商供货能力,产品名称,文本,是,具体产品名称,工业相机模组
供应商供货能力,产品关键词,多行文本,否,用逗号分隔检索关键词,工业相机,相机模组,视觉检测
供应商供货能力,工艺能力,多行文本,否,描述生产/加工/研发能力,光学模组集成
供应商供货能力,是否具备设计开发能力,单选,否,是/否/未知,是
供应商供货能力,供货区域,多选,否,填写可供货区域,华南/华东
供应商供货能力,生产地,文本,否,填写工厂城市或地区,深圳市
供应商供货能力,产能说明,多行文本,否,填写产能、交付能力等,月产能10000件
供应商供货能力,相关资质概况,多行文本,否,填写与该能力相关的资质,ISO 9001
供应商供货能力,能力状态,单选,是,已验证/待验证/已失效,已验证
供应商供货能力,更新时间,日期时间,是,能力数据最后更新时间,2026-08-25 10:00:00
供应商联系人,供应商代码,文本,是,必须能在供应商主数据中找到,8110023
供应商联系人,联系人姓名,文本,是,填写联系人姓名,张三
供应商联系人,职务,文本,否,填写联系人职务,销售经理
供应商联系人,联系人类型,单选,是,商务/技术/质量/财务/其他,商务
供应商联系人,电话,电话,否,填写可公开使用的联系电话,0755-XXXXXXXX
供应商联系人,邮箱,文本,否,填写工作邮箱,contact@example.com
供应商联系人,是否主要联系人,单选,是,是/否,是
供应商联系人,是否已验证,单选,是,是/否/未知,是
供应商联系人,验证时间,日期时间,否,最近一次验证时间,2026-08-25 10:00:00
供应商联系人,备注,多行文本,否,人工补充说明,优先联系
